Condition,Sex,Age,Location,Measure_daly,Unit_daly,Forecast Scenario_daly,Year,Value_daly,Lower_daly,Upper_daly,Data Suite_daly,DA_daly,Measure_prev,Unit_prev,Forecast Scenario_prev,Value_prev,Lower_prev,Upper_prev,Data Suite_prev,DA_prev
Autism spectrum disorders,Both,All Ages,Spain,DALYs,"Rate (per 100,000)",Reference,2028,0.0017585696284501,0.00123311322436809,0.0024082759768994403,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.00951242299339748,0.00799889056807076,0.0111901665940933,GBD,Other
Autism spectrum disorders,Both,All Ages,Germany,DALYs,"Rate (per 100,000)",Reference,2028,0.00152081435761128,0.00105144220454996,0.00210950758520261,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.00825227707386585,0.006799175850119969,0.00985346027162084,GBD,Other
Autism spectrum disorders,Both,All Ages,Italy,DALYs,"Rate (per 100,000)",Reference,2028,0.00166535923993094,0.0011526366419543,0.00233359695298893,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.009069948532179321,0.00759969461483301,0.010746696544318599,GBD,Other
Autism spectrum disorders,Both,All Ages,United Kingdom,DALYs,"Rate (per 100,000)",Reference,2028,0.00129980546680717,0.000883773157768412,0.0018218477366278901,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.00703897032264392,0.00589794539732683,0.00837221672480351,GBD,Other
Autism spectrum disorders,Both,All Ages,France,DALYs,"Rate (per 100,000)",Reference,2029,0.00150373337075434,0.00103289928753906,0.00210168562803779,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.00815317818139755,0.0067694418575742705,0.0096989963714686,GBD,Other
Autism spectrum disorders,Both,All Ages,Spain,DALYs,"Rate (per 100,000)",Reference,2029,0.00175640466302346,0.00123113591426072,0.00240550946620957,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.0095031185362732,0.00798948746962626,0.011176914458459801,GBD,Other
Autism spectrum disorders,Both,All Ages,Germany,DALYs,"Rate (per 100,000)",Reference,2029,0.0015191472427642,0.00105060513837432,0.00210641073392502,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.00824458483732523,0.0067933488583165605,0.009844200238680781,GBD,Other
Autism spectrum disorders,Both,All Ages,Italy,DALYs,"Rate (per 100,000)",Reference,2029,0.00166163980992808,0.00115006994590526,0.00232803568527343,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.00905367832340798,0.007584612184621639,0.010729835379797902,GBD,Other
Autism spectrum disorders,Both,All Ages,United Kingdom,DALYs,"Rate (per 100,000)",Reference,2029,0.00129784826984581,0.000882442487626242,0.0018188407783728598,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.00703000077076046,0.00588987256225041,0.00836146963769622,GBD,Other
Autism spectrum disorders,Both,All Ages,France,DALYs,"Rate (per 100,000)",Reference,2030,0.0015008550747189302,0.00103087601688762,0.00209743345447695,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.00813977323603709,0.00675723547066829,0.00968143292446174,GBD,Other
Autism spectrum disorders,Both,All Ages,Spain,DALYs,"Rate (per 100,000)",Reference,2030,0.00175421796434789,0.00122918629417852,0.00240224323031817,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.00949361777433489,0.0079805841220923,0.011163624892476801,GBD,Other
Autism spectrum disorders,Both,All Ages,Germany,DALYs,"Rate (per 100,000)",Reference,2030,0.0015175323874730099,0.0010496785003257401,0.00210360867885722,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.0082371251258085,0.00678828994173664,0.00983531664181647,GBD,Other
Autism spectrum disorders,Both,All Ages,Italy,DALYs,"Rate (per 100,000)",Reference,2030,0.0016579181030291,0.0011474632166134,0.00232285701679102,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.00903730773323057,0.00756946783393324,0.0107123387671005,GBD,Other
Autism spectrum disorders,Both,All Ages,United Kingdom,DALYs,"Rate (per 100,000)",Reference,2030,0.00129596855258082,0.00088115532641461,0.0018159553023686498,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.0070213878867027,0.00588217661877743,0.00835113066317864,GBD,Other
Autism spectrum disorders,Both,All Ages,France,DALYs,"Rate (per 100,000)",Reference,2031,0.0014981036558797001,0.00102898615699393,0.00209340321484411,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.00812689024527501,0.00674557185650678,0.00966472087324876,GBD,Other
Autism spectrum disorders,Both,All Ages,Spain,DALYs,"Rate (per 100,000)",Reference,2031,0.0017520709576860198,0.00122709041289479,0.00239899641882016,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.009484155443338471,0.00797108972554505,0.0111500078728653,GBD,Other
Autism spectrum disorders,Both,All Ages,Germany,DALYs,"Rate (per 100,000)",Reference,2031,0.00151603953084678,0.00104855812577483,0.00210118692030771,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.00823021774546814,0.00678387473214885,0.009827709904760831,GBD,Other
Autism spectrum disorders,Both,All Ages,Italy,DALYs,"Rate (per 100,000)",Reference,2031,0.0016542333957552,0.00114478669363971,0.0023174651557502303,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.00902099008009722,0.00755441348317186,0.0106934234352521,GBD,Other
Autism spectrum disorders,Both,All Ages,United Kingdom,DALYs,"Rate (per 100,000)",Reference,2031,0.0012942062464858,0.000879951271582659,0.00181309429822826,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.00701333323830853,0.00587485779524253,0.00834079480997694,GBD,Other
Autism spectrum disorders,Both,All Ages,France,DALYs,"Rate (per 100,000)",Reference,2032,0.0014953942439468301,0.00102719629257965,0.00208937492942627,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.00811408176499575,0.0067340556531668904,0.00964820222563097,GBD,Other
Autism spectrum disorders,Both,All Ages,Spain,DALYs,"Rate (per 100,000)",Reference,2032,0.00174986782818262,0.00122509517756178,0.00239594615967635,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.00947427881704813,0.00796081722294917,0.0111348071594558,GBD,Other
Autism spectrum disorders,Both,All Ages,Germany,DALYs,"Rate (per 100,000)",Reference,2032,0.0015144764780399898,0.00104715715327363,0.00209895308145092,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.008222898649390109,0.00677891823402998,0.009819746671387259,GBD,Other
Autism spectrum disorders,Both,All Ages,Italy,DALYs,"Rate (per 100,000)",Reference,2032,0.00165047472671954,0.00114207493108183,0.00231175356629026,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.00900413684593894,0.00753861052865582,0.0106739616041006,GBD,Other
Autism spectrum disorders,Both,All Ages,United Kingdom,DALYs,"Rate (per 100,000)",Reference,2032,0.0012924801532025,0.0008787845216471579,0.00181016919422961,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.0070054097798023,0.00586766547391734,0.008330570144936841,GBD,Other
Autism spectrum disorders,Both,All Ages,France,DALYs,"Rate (per 100,000)",Reference,2033,0.00149267742762247,0.00102549135455749,0.00208543465608036,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.00810107486880921,0.00672206012213769,0.0096317547209248,GBD,Other
Autism spectrum disorders,Both,All Ages,Spain,DALYs,"Rate (per 100,000)",Reference,2033,0.00174755201095524,0.0012229615094960199,0.00239307381804132,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.00946368765277664,0.007950731627477359,0.011118851408842799,GBD,Other
Autism spectrum disorders,Both,All Ages,Germany,DALYs,"Rate (per 100,000)",Reference,2033,0.0015127367960754798,0.0010457514364258,0.0020966808166421502,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.00821459701357673,0.00677277692949776,0.00981018786495667,GBD,Other
Autism spectrum disorders,Both,All Ages,Italy,DALYs,"Rate (per 100,000)",Reference,2033,0.00164656122960877,0.00113921479591176,0.00230574341472268,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.0089863576924508,0.00752135758929714,0.010654013225962001,GBD,Other
Autism spectrum disorders,Both,All Ages,United Kingdom,DALYs,"Rate (per 100,000)",Reference,2033,0.00129074760660383,0.000877601562054146,0.00180718532949542,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.00699738399149641,0.0058604183060062,0.00832051677336393,GBD,Other
Autism spectrum disorders,Both,All Ages,France,DALYs,"Rate (per 100,000)",Reference,2034,0.00149003172630477,0.00102390779657119,0.00208154743588028,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.00808829849498496,0.0067104564683583496,0.00961542320073228,GBD,Other
Autism spectrum disorders,Both,All Ages,Spain,DALYs,"Rate (per 100,000)",Reference,2034,0.00174516464410464,0.00122110914365786,0.0023907940963088198,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.00945263008272185,0.00794083147836939,0.011102310527102699,GBD,Other
Autism spectrum disorders,Both,All Ages,Germany,DALYs,"Rate (per 100,000)",Reference,2034,0.0015109148451476699,0.00104434052446069,0.00209438362692307,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.00820580971250221,0.006766214911208161,0.00979989295213043,GBD,Other
Autism spectrum disorders,Both,All Ages,Italy,DALYs,"Rate (per 100,000)",Reference,2034,0.0016425838922789898,0.00113639154052845,0.00229963148381162,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.008968118934140361,0.00750391207905897,0.0106319920763112,GBD,Other
Autism spectrum disorders,Both,All Ages,United Kingdom,DALYs,"Rate (per 100,000)",Reference,2034,0.0012890714847323698,0.000876453581510996,0.00180425895554114,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.0069895955571897105,0.0058534039230402094,0.00831080282353725,GBD,Other
Autism spectrum disorders,Both,All Ages,France,DALYs,"Rate (per 100,000)",Reference,2035,0.0014875269793163302,0.00102232013601409,0.00207775403812788,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.00807614123640949,0.006699929802882961,0.00959976248875578,GBD,Other
Autism spectrum disorders,Both,All Ages,Spain,DALYs,"Rate (per 100,000)",Reference,2035,0.00174279589966825,0.00121928955533216,0.00238843471722701,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.00944155601218519,0.00793051886651581,0.011086361260954,GBD,Other
Autism spectrum disorders,Both,All Ages,Germany,DALYs,"Rate (per 100,000)",Reference,2035,0.00150908635042815,0.00104299045151936,0.00209186948623827,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.00819692536138056,0.006759618480220841,0.00979013631866401,GBD,Other
Autism spectrum disorders,Both,All Ages,Italy,DALYs,"Rate (per 100,000)",Reference,2035,0.0016386424295563402,0.00113379014959942,0.0022936501571955903,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.00894988846923371,0.00748692695520529,0.010608881884152299,GBD,Other
Autism spectrum disorders,Both,All Ages,United Kingdom,DALYs,"Rate (per 100,000)",Reference,2035,0.0012874855860818598,0.000875390296314217,0.0018015131636293698,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.00698222432070188,0.00584663625661952,0.00830170384340784,GBD,Other
Autism spectrum disorders,Both,All Ages,France,DALYs,"Rate (per 100,000)",Reference,2036,0.0014852347850338298,0.00102074362186126,0.0020743593958730097,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.00806499445392066,0.00669061058369819,0.00958561284164206,GBD,Other
Autism spectrum disorders,Both,All Ages,Spain,DALYs,"Rate (per 100,000)",Reference,2036,0.0017405304278453801,0.00121722584142973,0.00238595919878769,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.00943083535890542,0.007920073734708679,0.011072276492400399,GBD,Other
Autism spectrum disorders,Both,All Ages,Germany,DALYs,"Rate (per 100,000)",Reference,2036,0.0015073879302829399,0.00104180322122435,0.00208939786269583,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.00818861583591883,0.0067536134301045105,0.00978087928117838,GBD,Other
